Quiz Heading,Question Type,Question Text,Option A,Option B,Option C,Option D,Correct Answer,Section,Points,Quiz Title,Explanation/Feedback,
Quiz 1,Multiple Choice,Which part of the brain is primarily responsible for higher cognitive functions like thinking and memory?,Cerebellum,Brainstem,Cerebrum,Spinal Cord,c) Cerebrum,Section1,1,Brain Introduction,,
Quiz 1,Multiple Choice,What is the primary role of the cerebellum?,Regulating heart rate and breathing,Coordinating movement and maintaining balance,Controlling sensory perception,Interpreting visual and auditory information,b) Coordinating movement and maintaining balance,Section1,1,Brain Introduction,,
Quiz 1,Multiple Choice,Which structure connects the brain to the spinal cord and regulates vital functions?,Cerebrum,Cerebellum,Brainstem,Parietal lobe,c) Brainstem,Section1,1,Brain Introduction,,
Quiz 1,Multiple Choice,Which lobe of the brain is associated with processing visual information?,Frontal lobe,Temporal lobe,Occipital lobe,Parietal lobe,c) Occipital lobe,Section1,1,Brain Introduction,,
Quiz 1,True/False,Cerebrospinal fluid cushions the brain and provides a protective buffer against physical injury.,TRUE,FALSE,N/A,N/A,a) TRUE,Section1,1,Brain Introduction,,
Quiz 2,Multiple Choice,Which layer of the triune brain is primarily responsible for basic survival functions like heart rate and breathing?,Neocortex,Paleomammalian Brain (Limbic System),Reptilian Brain,Prefrontal Cortex,C) Reptilian Brain,Section1,1,Triune Brain,,
Quiz 2,Multiple Choice,Which brain structure is associated with higher cognitive functions like reasoning and decision-making?,Reptilian Brain,Neocortex,Paleomammalian Brain,Amygdala,B) Neocortex,Section1,1,Triune Brain,,
Quiz 2,Multiple Choice,"Which statement best describes the relationship between the reptilian brain, limbic system, and neocortex?",They are completely independent and do not influence each other.,"They are functionally independent but deeply interconnected, working together to balance cognition and emotion.","The reptilian brain solely handles cognitive functions, while the neocortex manages emotions.",The limbic system operates independently from both the reptilian brain and the neocortex.,"B) They are functionally independent but deeply interconnected, working together to balance cognition and emotion)",Section1,1,Triune Brain,,
Quiz 2,Multiple Choice,"According to the triune brain theory, which of the following statements about the limbic system is true?",It is primarily responsible for higher-order thinking.,It governs basic survival instincts like heart rate and reproduction.,It controls emotional responses and is essential for social bonds and survival.,It fully overrides emotional impulses from the other brain layers.,C) It controls emotional responses and is essential for social bonds and survival),Section1,1,Triune Brain,,
Quiz 2,True/False,The neocortex is responsible for managing emotional responses such as fear and nurturing offspring.,TRUE,FALSE,N/A,N/A,B) False,Section1,1,Triune Brain,"The neocortex is responsible for higher cognitive functions, while the limbic system manages emotional responses.",
Quiz 3,Multiple Choice,Which of the following lobes is primarily involved in decision-making and voluntary motor activity?,Parietal Lobe,Frontal Lobe,Temporal Lobe,Occipital Lobe,B) Frontal Lobes,Section1,1,Neocortex,,
Quiz 3,Multiple Choice,What is the primary function of the temporal lobes?,Processing visual information and controlling motor functions,"Processing auditory information, and playing a role in memory formation and emotional responses",Regulating balance and coordinating movement,Controlling heart rate and breathing,"b) Processing auditory information, and playing a role in memory formation and emotional responses",Section1,1,Neocortex,,
Quiz 3,Multiple Choice,Which lobe of the neocortex is the primary center for processing visual information?,Frontal Lobes,Parietal Lobes,Occipital Lobes,Temporal Lobes,C) Occipital Lobes,Section1,1,Neocortex,,
Quiz 3,Multiple Choice,Which function is NOT typically associated with the neocortex?,Sensory input processing,Higher cognitive functions like language and reasoning,Basic survival functions such as heart rate and breathing,Coordination of voluntary motor activity,C) Basic survival functions such as heart rate and breathing,Section1,1,Neocortex, ,
Quiz 3,True/False,The parietal lobes are responsible for controlling social behavior and speech production.,TRUE,FALSE,N/A,N/A,B) FALSE,Section1,1,Neocortex,"The parietal lobes integrate sensory information and aid in spatial reasoning, while the frontal lobes control social behavior and speech production.",
